                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7401,                 2.3552,                 1.2732,                0.95376,                0.05294,                0.19546,                0.11043,                 1.5576,                 3.1447,                 1.3877,             0.00044299,             0.00044299,             0.00044299
                      2,                 1.5651,                 1.3103,                 1.1668,                0.94638,                0.17907,                  0.403,                0.23444,                 1.5029,                 2.5573,                  1.264,             0.00089433,             0.00089433,             0.00089433
                      3,                 1.5434,                 1.2074,                 1.1695,                0.61876,                0.22455,                0.35404,                0.19505,                 1.6448,                 2.5601,                 1.4647,              0.0013396,              0.0013396,              0.0013396
                      4,                 1.5314,                  1.163,                 1.1929,                0.62753,                0.45654,                0.51809,                0.24247,                 1.8489,                 1.9783,                 1.5995,              0.0014007,              0.0014007,              0.0014007
                      5,                 1.5048,                 1.1084,                 1.2117,                0.59475,                0.55693,                 0.5564,                0.29088,                 1.5255,                 1.4092,                  1.354,              0.0014007,              0.0014007,              0.0014007
                      6,                  1.468,                 1.0655,                 1.2006,                0.72335,                0.63859,                0.70723,                0.38439,                 1.4514,                 1.3573,                 1.2845,              0.0013913,              0.0013913,              0.0013913
                      7,                 1.4694,                 1.0013,                 1.1991,                 0.6812,                0.66314,                0.68239,                0.36127,                 1.3984,                 1.1433,                  1.222,              0.0013818,              0.0013818,              0.0013818
                      8,                 1.4585,                0.96388,                 1.1788,                0.69847,                0.66597,                0.71042,                0.40268,                 1.4703,                 1.2375,                  1.307,              0.0013724,              0.0013724,              0.0013724
                      9,                 1.4464,                0.94538,                  1.181,                0.59961,                0.65109,                0.63914,                 0.3462,                 1.4957,                 1.1724,                 1.2804,               0.001363,               0.001363,               0.001363
                     10,                 1.4451,                0.92289,                 1.1812,                0.69601,                0.68715,                0.72396,                0.40242,                 1.4643,                 1.0603,                 1.3456,              0.0013535,              0.0013535,              0.0013535
                     11,                 1.4259,                0.89653,                 1.1682,                0.68506,                0.66569,                0.69754,                 0.3782,                  1.559,                 1.1507,                 1.3146,              0.0013441,              0.0013441,              0.0013441
                     12,                 1.4385,                0.88886,                 1.1712,                0.70395,                0.71762,                 0.7419,                0.40906,                 1.4934,                 1.0458,                 1.2498,              0.0013347,              0.0013347,              0.0013347
                     13,                 1.4117,                0.85761,                 1.1611,                0.70322,                0.70244,                0.72829,                 0.4023,                 1.4353,                0.99919,                  1.205,              0.0013253,              0.0013253,              0.0013253
                     14,                 1.4021,                0.83913,                  1.159,                0.67687,                0.71348,                0.73711,                0.38755,                  1.532,                0.99957,                  1.276,              0.0013158,              0.0013158,              0.0013158
                     15,                 1.3967,                0.82221,                 1.1526,                0.71747,                0.69388,                0.72675,                0.40428,                 1.4124,                0.98016,                 1.2416,              0.0013064,              0.0013064,              0.0013064
                     16,                 1.4012,                0.81625,                 1.1651,                0.74193,                0.70785,                0.74029,                0.41879,                 1.5624,                 1.0473,                 1.3821,               0.001297,               0.001297,               0.001297
                     17,                 1.3851,                0.81126,                 1.1594,                0.71542,                0.70581,                   0.74,                0.41383,                 1.3592,                 0.9988,                 1.2129,              0.0012875,              0.0012875,              0.0012875
                     18,                 1.3865,                0.81236,                 1.1534,                0.75126,                0.71847,                0.76688,                0.42457,                 1.4624,                 1.0468,                 1.2847,              0.0012781,              0.0012781,              0.0012781
                     19,                  1.381,                 0.7909,                 1.1442,                0.71706,                0.72381,                0.73688,                0.41613,                 1.5038,                0.99313,                 1.3494,              0.0012687,              0.0012687,              0.0012687
                     20,                 1.3627,                0.78264,                 1.1385,                0.76032,                 0.7253,                0.78199,                0.44618,                 1.4001,                0.94439,                 1.2162,              0.0012592,              0.0012592,              0.0012592
                     21,                 1.3519,                0.76586,                 1.1296,                0.70221,                0.74107,                0.75729,                0.42281,                 1.5104,                 0.9624,                 1.3479,              0.0012498,              0.0012498,              0.0012498
                     22,                 1.3536,                0.79323,                 1.1372,                0.71812,                0.74284,                0.77269,                0.42926,                 1.4314,                0.90186,                 1.2108,              0.0012404,              0.0012404,              0.0012404
                     23,                 1.3483,                0.77074,                 1.1374,                 0.7315,                0.75774,                0.78568,                0.43151,                 1.4579,                0.95261,                 1.2209,              0.0012309,              0.0012309,              0.0012309
                     24,                 1.3534,                0.75935,                 1.1344,                0.74195,                0.73879,                0.76527,                0.42885,                 1.4096,                0.88567,                  1.232,              0.0012215,              0.0012215,              0.0012215
                     25,                 1.3368,                0.74135,                 1.1241,                 0.7593,                0.69468,                0.74688,                0.39933,                 1.5851,                0.96596,                 1.3588,              0.0012121,              0.0012121,              0.0012121
                     26,                  1.337,                0.73596,                 1.1198,                0.73944,                0.73164,                0.77172,                0.41305,                 1.6277,                0.92832,                 1.4233,              0.0012026,              0.0012026,              0.0012026
                     27,                 1.3221,                0.73209,                 1.1275,                0.75405,                0.72322,                0.76529,                0.43293,                 1.4331,                0.93611,                 1.2739,              0.0011932,              0.0011932,              0.0011932
                     28,                 1.3258,                0.71757,                 1.1172,                0.76607,                0.68669,                0.77544,                0.44178,                 1.4412,                 1.0694,                  1.284,              0.0011838,              0.0011838,              0.0011838
                     29,                  1.316,                0.71342,                 1.1269,                  0.749,                0.73312,                 0.7813,                 0.4487,                 1.4542,                0.92066,                 1.3273,              0.0011744,              0.0011744,              0.0011744
                     30,                 1.2995,                0.70628,                 1.1126,                0.77844,                 0.6841,                0.76805,                0.41901,                 1.4401,                 1.0016,                 1.2328,              0.0011649,              0.0011649,              0.0011649
                     31,                 1.3025,                0.70636,                 1.1159,                0.73714,                 0.7431,                0.76571,                0.42467,                 1.4249,                0.94973,                 1.2202,              0.0011555,              0.0011555,              0.0011555
                     32,                 1.3101,                0.70898,                 1.1231,                0.72719,                0.71716,                0.74776,                0.41508,                 1.6512,                 1.0125,                  1.386,              0.0011461,              0.0011461,              0.0011461
                     33,                 1.2973,                0.70793,                 1.1031,                0.81123,                0.68411,                 0.7769,                0.42952,                 1.4637,                0.86229,                 1.2627,              0.0011366,              0.0011366,              0.0011366
                     34,                 1.2809,                0.68608,                 1.1058,                0.77245,                0.71806,                0.76971,                0.42208,                 1.4128,                0.85024,                 1.2049,              0.0011272,              0.0011272,              0.0011272
                     35,                 1.2884,                0.68538,                 1.1032,                0.76222,                0.73044,                0.77909,                0.43658,                 1.4288,                0.88283,                 1.2661,              0.0011178,              0.0011178,              0.0011178
                     36,                 1.2761,                0.68167,                 1.1024,                0.76492,                0.72023,                0.77744,                0.43376,                 1.3439,                0.89134,                 1.1855,              0.0011083,              0.0011083,              0.0011083
                     37,                 1.2658,                0.67692,                  1.103,                0.76852,                0.74011,                0.79063,                0.44742,                 1.3446,                0.89268,                 1.2184,              0.0010989,              0.0010989,              0.0010989
                     38,                 1.2675,                0.67412,                 1.0941,                0.79133,                0.65105,                0.72442,                0.41279,                 1.4648,                 1.0308,                 1.2839,              0.0010895,              0.0010895,              0.0010895
                     39,                 1.2933,                0.67987,                 1.1104,                0.75018,                0.75237,                0.78191,                0.43649,                 1.4594,                 0.9306,                 1.2184,                0.00108,                0.00108,                0.00108
                     40,                 1.2759,                  0.674,                 1.0952,                0.76903,                0.74313,                0.78526,                0.42707,                 1.4562,                0.84805,                 1.2501,              0.0010706,              0.0010706,              0.0010706
                     41,                 1.2571,                 0.6625,                 1.0927,                0.71917,                0.72901,                0.75222,                0.42945,                 1.4324,                0.87431,                 1.2842,              0.0010612,              0.0010612,              0.0010612
                     42,                 1.2519,                0.66177,                 1.0961,                0.74888,                0.73474,                0.78243,                0.44359,                 1.4429,                0.96498,                 1.2228,              0.0010517,              0.0010517,              0.0010517
                     43,                   1.26,                0.67696,                 1.0956,                0.77597,                0.70227,                0.76561,                0.42755,                 1.4462,                0.93275,                 1.2074,              0.0010423,              0.0010423,              0.0010423
                     44,                 1.2451,                0.65486,                 1.0869,                0.77815,                0.74118,                0.78694,                0.44375,                 1.3323,                0.95151,                 1.1393,              0.0010329,              0.0010329,              0.0010329
                     45,                 1.2532,                0.66047,                  1.096,                 0.8059,                0.71517,                0.79647,                0.44067,                 1.5019,                 0.9174,                 1.2642,              0.0010234,              0.0010234,              0.0010234
                     46,                 1.2436,                0.65201,                 1.0899,                0.80234,                0.70666,                0.78132,                0.43815,                 1.3551,                0.86572,                 1.1819,               0.001014,               0.001014,               0.001014
                     47,                 1.2286,                0.64527,                 1.0824,                0.75172,                 0.7349,                0.77624,                 0.4421,                 1.3364,                0.87637,                 1.1584,              0.0010046,              0.0010046,              0.0010046
                     48,                 1.2279,                0.63906,                 1.0792,                0.76183,                0.71741,                0.77553,                0.44098,                 1.4822,                0.93895,                 1.2776,             0.00099516,             0.00099516,             0.00099516
                     49,                 1.2302,                0.63989,                 1.0774,                0.77295,                0.70756,                0.77348,                0.44636,                 1.5096,                0.92123,                 1.2965,             0.00098572,             0.00098572,             0.00098572
                     50,                 1.2231,                0.62854,                 1.0795,                0.78137,                0.70902,                0.75995,                0.43135,                 1.4122,                0.92554,                 1.2416,             0.00097629,             0.00097629,             0.00097629
                     51,                 1.2266,                0.63523,                 1.0743,                0.75497,                 0.7323,                0.77859,                0.42698,                 1.5418,                 1.0505,                 1.3139,             0.00096686,             0.00096686,             0.00096686
                     52,                 1.1975,                0.62372,                 1.0686,                0.76515,                0.74436,                0.79115,                0.44972,                 1.3248,                0.88254,                 1.1735,             0.00095743,             0.00095743,             0.00095743
                     53,                  1.208,                0.62657,                 1.0722,                0.79048,                0.76915,                0.80995,                0.45522,                 1.3996,                0.84364,                 1.1862,               0.000948,               0.000948,               0.000948
                     54,                 1.2123,                0.62538,                 1.0696,                0.77977,                0.72227,                0.76466,                0.42083,                 1.4851,                0.91572,                 1.2582,             0.00093857,             0.00093857,             0.00093857
                     55,                 1.1997,                0.62876,                 1.0672,                0.75435,                 0.7491,                0.78132,                 0.4507,                 1.3845,                0.85288,                 1.1607,             0.00092914,             0.00092914,             0.00092914
                     56,                 1.2007,                0.62135,                 1.0606,                0.74635,                0.73647,                0.77489,                0.45636,                 1.3299,                0.94872,                 1.1646,              0.0009197,              0.0009197,              0.0009197
                     57,                 1.1979,                0.61191,                 1.0737,                0.80315,                 0.7165,                0.79398,                0.45129,                 1.3821,                0.83133,                 1.2111,             0.00091027,             0.00091027,             0.00091027
                     58,                 1.1894,                0.61365,                 1.0659,                0.76922,                0.74586,                0.77491,                0.43281,                 1.4496,                0.87899,                  1.291,             0.00090084,             0.00090084,             0.00090084
                     59,                 1.1943,                0.61481,                  1.061,                0.77619,                0.71451,                0.77204,                0.44381,                 1.4384,                0.95059,                 1.2747,             0.00089141,             0.00089141,             0.00089141
                     60,                  1.177,                0.60215,                 1.0614,                0.77169,                0.74197,                0.78219,                0.44566,                 1.3755,                 0.8569,                 1.1739,             0.00088198,             0.00088198,             0.00088198
                     61,                 1.1714,                0.59707,                 1.0578,                0.81432,                0.72077,                0.78692,                0.44655,                 1.5309,                0.96328,                 1.3545,             0.00087255,             0.00087255,             0.00087255
                     62,                 1.1737,                0.59912,                 1.0615,                0.76457,                0.76775,                0.79431,                0.44476,                 1.4937,                0.83509,                 1.3395,             0.00086312,             0.00086312,             0.00086312
                     63,                 1.1728,                0.59082,                 1.0557,                0.78078,                 0.7215,                 0.7722,                0.44042,                 1.4097,                0.95413,                 1.1951,             0.00085368,             0.00085368,             0.00085368
                     64,                 1.1631,                0.59999,                 1.0559,                0.75067,                0.75916,                0.78793,                0.45017,                  1.313,                0.85805,                 1.1729,             0.00084425,             0.00084425,             0.00084425
                     65,                 1.1635,                 0.5919,                 1.0491,                0.78213,                0.73025,                 0.7933,                 0.4553,                 1.3231,                0.84213,                 1.1722,             0.00083482,             0.00083482,             0.00083482
                     66,                 1.1666,                0.59333,                 1.0576,                0.77406,                0.70946,                 0.7684,                0.42823,                 1.4355,                0.94852,                 1.2184,             0.00082539,             0.00082539,             0.00082539
                     67,                 1.1609,                0.59248,                 1.0486,                0.79349,                0.70407,                0.75982,                0.42933,                 1.3842,                0.95217,                 1.1898,             0.00081596,             0.00081596,             0.00081596
                     68,                 1.1505,                0.58181,                  1.046,                0.75293,                0.73312,                0.78116,                0.44103,                 1.3765,                0.88528,                 1.1872,             0.00080653,             0.00080653,             0.00080653
                     69,                 1.1524,                0.58295,                 1.0467,                0.77427,                0.72127,                0.78104,                0.44637,                 1.3375,                0.90715,                  1.159,              0.0007971,              0.0007971,              0.0007971
                     70,                 1.1378,                0.57548,                 1.0401,                0.81296,                0.72185,                0.78971,                0.45098,                 1.3226,                0.85422,                 1.1561,             0.00078766,             0.00078766,             0.00078766
                     71,                 1.1342,                0.57741,                 1.0463,                0.77146,                0.74018,                0.77748,                0.43869,                 1.3796,                0.82531,                 1.1845,             0.00077823,             0.00077823,             0.00077823
                     72,                 1.1314,                0.57402,                 1.0415,                0.78658,                0.70856,                0.77933,                0.44375,                 1.4393,                0.92522,                 1.2477,              0.0007688,              0.0007688,              0.0007688
                     73,                 1.1268,                0.57547,                  1.036,                0.80621,                0.69119,                 0.7787,                0.43664,                 1.3999,                 0.8914,                 1.2174,             0.00075937,             0.00075937,             0.00075937
                     74,                  1.118,                 0.5582,                 1.0373,                0.78047,                0.71811,                0.78165,                0.44431,                 1.3571,                0.89616,                 1.1625,             0.00074994,             0.00074994,             0.00074994
                     75,                  1.118,                0.56336,                 1.0297,                0.77972,                0.74328,                0.77756,                0.43991,                 1.3897,                 0.8012,                 1.2388,             0.00074051,             0.00074051,             0.00074051
                     76,                 1.1221,                0.56586,                 1.0388,                0.76521,                0.73696,                0.77543,                 0.4314,                 1.4729,                0.91966,                 1.2484,             0.00073108,             0.00073108,             0.00073108
                     77,                    1.1,                0.55515,                 1.0248,                0.78179,                0.72067,                0.77253,                0.43715,                 1.3878,                0.89187,                  1.212,             0.00072164,             0.00072164,             0.00072164
                     78,                 1.1133,                0.56065,                 1.0348,                0.82607,                0.70237,                0.78376,                0.43248,                  1.451,                0.85531,                 1.2546,             0.00071221,             0.00071221,             0.00071221
                     79,                 1.0995,                0.55485,                 1.0229,                0.80412,                0.71474,                0.77419,                 0.4337,                 1.3308,                0.88157,                 1.1639,             0.00070278,             0.00070278,             0.00070278
                     80,                 1.1029,                0.56192,                 1.0301,                 0.7559,                0.75405,                0.78578,                  0.438,                 1.4277,                0.83176,                  1.209,             0.00069335,             0.00069335,             0.00069335
                     81,                 1.0973,                0.55019,                  1.026,                0.78337,                0.71184,                 0.7691,                0.43562,                 1.3851,                0.83864,                 1.1879,             0.00068392,             0.00068392,             0.00068392
                     82,                 1.0855,                0.54842,                 1.0259,                0.80618,                0.71007,                0.78093,                0.44358,                 1.4408,                0.87709,                  1.234,             0.00067449,             0.00067449,             0.00067449
                     83,                 1.0936,                0.55193,                 1.0274,                0.76016,                0.75062,                0.78534,                0.43733,                  1.457,                0.86294,                 1.2455,             0.00066506,             0.00066506,             0.00066506
                     84,                 1.0986,                0.54923,                 1.0302,                0.77498,                0.73938,                0.77819,                0.43773,                 1.3761,                0.80755,                 1.2072,             0.00065563,             0.00065563,             0.00065563
                     85,                 1.0737,                0.54419,                 1.0198,                0.75417,                0.72892,                0.77024,                0.41713,                 1.4686,                0.84593,                 1.2507,             0.00064619,             0.00064619,             0.00064619
                     86,                 1.0905,                0.55307,                 1.0227,                0.76424,                0.73033,                0.77424,                0.43451,                 1.4328,                0.81736,                 1.2673,             0.00063676,             0.00063676,             0.00063676
                     87,                 1.0639,                0.53669,                 1.0122,                0.75379,                0.75642,                0.77921,                0.44608,                 1.4039,                0.81911,                 1.2311,             0.00062733,             0.00062733,             0.00062733
                     88,                 1.0653,                0.53521,                 1.0161,                0.81367,                0.70718,                0.76818,                0.42971,                  1.463,                0.83196,                 1.2498,              0.0006179,              0.0006179,              0.0006179
                     89,                 1.0583,                0.53289,                 1.0101,                0.80585,                0.70407,                0.78754,                0.44878,                 1.3984,                0.87285,                 1.2156,             0.00060847,             0.00060847,             0.00060847
                     90,                 1.0647,                0.53494,                 1.0064,                0.74189,                0.77673,                0.78309,                0.43653,                 1.4072,                0.86312,                 1.2318,             0.00059904,             0.00059904,             0.00059904
                     91,                 1.0555,                0.53045,                 1.0165,                0.76915,                0.75206,                0.77654,                0.43928,                 1.3906,                0.81168,                 1.2344,             0.00058961,             0.00058961,             0.00058961
                     92,                 1.0488,                0.52711,                 1.0128,                0.79116,                0.71387,                0.77842,                0.43642,                 1.3805,                0.99027,                 1.2186,             0.00058017,             0.00058017,             0.00058017
                     93,                 1.0495,                0.53509,                 1.0071,                0.79908,                 0.7117,                0.77328,                0.42718,                 1.3924,                0.93826,                  1.231,             0.00057074,             0.00057074,             0.00057074
                     94,                  1.057,                0.52992,                 1.0116,                0.78847,                0.72491,                0.77937,                0.43804,                 1.4253,                0.84018,                 1.2894,             0.00056131,             0.00056131,             0.00056131
                     95,                 1.0344,                0.52069,                 1.0034,                 0.8033,                0.72431,                0.78709,                0.44522,                 1.4104,                0.79584,                 1.2415,             0.00055188,             0.00055188,             0.00055188
                     96,                 1.0276,                 0.5178,                 1.0019,                0.76396,                0.74669,                0.78063,                0.44091,                 1.4274,                0.85602,                 1.2489,             0.00054245,             0.00054245,             0.00054245
                     97,                 1.0406,                 0.5212,                0.99764,                0.75581,                0.76036,                0.78358,                0.43824,                 1.4037,                0.85172,                 1.2456,             0.00053302,             0.00053302,             0.00053302
                     98,                 1.0273,                0.51731,                  1.002,                0.83442,                0.69897,                0.79521,                0.44911,                 1.3808,                0.83084,                 1.2479,             0.00052359,             0.00052359,             0.00052359
                     99,                 1.0274,                0.51677,                 1.0014,                0.76238,                0.74628,                0.78507,                0.44526,                 1.3674,                0.86365,                 1.2183,             0.00051415,             0.00051415,             0.00051415
                    100,                 1.0126,                0.51668,                0.99895,                0.78102,                0.72026,                0.77126,                0.43506,                 1.3762,                0.86431,                 1.2197,             0.00050472,             0.00050472,             0.00050472
                    101,                 1.0267,                0.51797,                 1.0048,                0.76969,                0.74001,                0.77757,                0.42813,                 1.3909,                0.80068,                 1.2374,             0.00049529,             0.00049529,             0.00049529
                    102,                 1.0116,                0.50441,                0.98855,                0.78078,                 0.7201,                 0.7803,                0.43727,                 1.3992,                0.92052,                 1.2473,             0.00048586,             0.00048586,             0.00048586
                    103,                 1.0211,                0.50873,                0.99775,                0.78568,                0.69444,                0.76761,                0.42511,                 1.3934,                0.91974,                 1.2058,             0.00047643,             0.00047643,             0.00047643
